(a) integrin-associated fak	p190rhogap
dnase	caspase-3
dndia1	cofilin
dnm2	arc
dnm2	transcription factor
dnmt1	suv39h1 histone methyltransferase
dock180	crk
dock180	p130cas
dock180	p130cas–crk complex
dock180	rac
dock180	sh3 domains
dock180 module	p130cas
dock2	(ph) domain
dock2	dhr-1
dock2	pi(3,4)p2
dock2	rac
dok family proteins	c-ret
dok members	rasgap
dok proteins	c-ret
dok-2	c-ret
dok-2	tie-2
dok-4	egfr (fig. 1
dok-4	tie-2 receptor
dok-4/5	elk-1
dok-4/5 proteins	rasgap
dok-5	c-ret
dok3	rasgap
domain	c-sh3 domain
domain	c-src
domain	egfr
domain	egfr monoclonal antibody 528
domain	grb2
domain	p120ctn
domain	ph domain
domains	ph
domains	traf
dox	bl70
dox	monoher
dox	mtor
doxorubicin	apaf-1
doxorubicin	caspase-3
doxorubicin	caspase-6
doxorubicin	caspase-8
doxorubicin	caspase-9
doxorubicin	caspases-1
doxorubicin	s4b
doxorubicin	topoisomerase ii
doxycyclin	atr-kd
doxycyclin	parp
doxycyclin	parp activity
doxycycline	cre
dp receptor (dp1)	membrane-bound dp receptor
drosophila	mapk
dual specific protein phosphatase 1 (dusp1	nf-κb
dual specificity phosphatase 1	mapks
dusp1	jnk
dusp1	p38 (12)
dutp	deoxyuridine triphosphate nucleotidohydrolase
dutpase	e2f family members
dutpase	p53
dutpase	p53mut
dutpase	sp1
dutpase gene	p53
dutpase mrna	oxaliplatin
dutpase promoter	e2f
dutpase promoter	nfκ-b
dutpase promoter	p53
dutpase promoter	sp1
dutpase protein	oxaliplatin
dutpase protein	p53
e-box	mycer
e-box	mycv394der
e-cadherin	catenin proteins
e-cadherin	catenins
e-cadherin	cdc42
e-cadherin	chloroquine
e-cadherin	cisplatin
e-cadherin	f-actin
e-cadherin	p120
e-cadherin	p120 arm repeats
e-cadherin	p120 sequences
e-cadherin	p120-related protein
e-cadherin	p120–
e-cadherin	p27kip1
e-cadherin	plakophilin-3
e-cadherin	presenilin-1
e-cadherin	ps1
e-cadherin	rac
e-cadherin	rac1
e-cadherin	region
e-cadherin	slug transcription factor
e-cadherin	ubiquitin
e-cadherin	α- and β-catenins
e-cadherin	α-catenin
e-cadherin	β-catenin
e-cadherin puncta	actin
e-cadherin-catenin	β-catenin
e-cadherins	p120
e-cadherin–catenin	actin
e1057/ckr)	src
e2	c-fos
e2	cell membrane
e2	e2-responsive genes
e2	erα
e2	igf-i
e2	igf-ir
e2	kip1
e2	mapk
e2	mir-34b
e2	mir-34b/c
e2	s118
e2 [19]	h17β-hsd12
e2-responsive genes	cd
e2-responsive genes	e2
e2/erα	igf-i
e2/erα	igf-ir
e2f	dutpase promoter
e2f family members	dutpase
e2f family of transcription factors	afb1
e2f site-mutant	oxaliplatin
e2f1/tfdp1	cdk2
e3 ligase	mcl-1
e3 ubiquitin ligase	p53
e3-ligase	myc–max complexes
e3b1	eps8
e3b1	grb2
e3b1	rac
e3b1	sh3 domains
e3b1	sos-1
e3b1–abi-1	nh2
e3b1–abi-1	sos-1
e6	p53
ea	lef-1
ebp-β	orf1
ebpα binding site	c/ebpα
ec-sod	egr-1
ecm proteins	integrin
ect2	anti-ect2 antibody (fig. 1 c
edn1	tnf
efa6	cytoskeleton
efa6	kalirin
efa6	rac
efa6	sr5
egcg	foxo transcription factors [10]
egf	akt
egf	arsenic
egf	cyclin d1
egf	egr-1
egf	gab1
egf	mycv394der
egf	ngf
egf	pi-3 kinase
egf	pstat1
egf	ras/mapk
egf	shp-2
egf	shp-2 protein tyrosine phosphatase
egf	tyrosine
egf (50 µg/l)	aromatase promoter
egf receptor	grb2
egf receptor	shp2
egf stimulation	akt
egf-induced	egf-induced gab1
egf-induced gab1	egf-induced
egf-induced gab1	shp2
egf-triggered receptor	cbl
egfp-pdk1	mrfp-pkb
egfr	ag490
egfr	amphiregulin (areg)
egfr	areg
egfr	at-rich consensus sites
egfr	bpde
egfr	c-src
egfr	cs
egfr	cs specific carcinogen bpde
egfr	cyclin d1
egfr	domain
egfr	egfr kinase domain
egfr	erbb3 receptor
egfr	erk
egfr	erlotinib
egfr	gab1
egfr	gefitinib
egfr	hsp90
egfr	jak-stat3
egfr	monomethylarsonous acid
egfr	muc1
egfr	pcn
egfr	perk
egfr	pr
egfr	rapamycin
egfr	ras
egfr	shc
egfr	shp-2
egfr	sodium arsenite
egfr	src
egfr	stat3
egfr	telomerase
egfr	tobacco specific carcinogen bpde
egfr	trkc
egfr (fig. 1	dok-4
egfr kinase domain	egfr
egfr ligand	areg
egfr ligand	heparin binding-egf
egfr monoclonal antibody 528	domain
egfr tyrosine kinase inhibitors (egfr-tki) suppress cell growth	cyclin d1
egfr/v738inskipvai	gefitinib
egr-1	cxl1 (chemokine ligand 1
egr-1	cyclin d1
egr-1	ec-sod
egr-1	egf
egr-1	h2o2
egr-1	silica
egr-1	u0126
egta	c2c12
eif3a	cisplatin
eif3a	ner
eif3a	ner proteins
element	alpha2 (i) collagen
elements	ahr nuclear translocator
elements	estrogen receptor
elements	stat3
elk-1	dok-4/5
elk1	erks
emax	shs
emt-inducing transcription factors zinc-finger e-box–binding homeobox factor 1	akt
endogenous	myosin-driven
endosulfan	erk
endothelin-1	il-1β
enos	s6k1
entpd5	matrix metallopeptidase 13
ep2 receptor	dexamthasone
epha receptors	ephrin-a5
epha receptors	gcs
epha receptors	juxtamembrane
epha receptors	residues
epha receptors	tyrosine
ephb2 receptors	juxtamembrane
ephb2 receptors	tyrosine
ephb4	dasatinib
ephrin-a2	f-actin
ephrin-a5	epha receptors
ephrin-a5	rho kinase
ephrin-a5	rhoa
epinephrine	il-6
epinephrine	stat-3 ser727
epo	erk
epo	nf-κβ
epor	human
epoxides	h3
epoxides	h4
eps8	e3b1
eps8	eps8–e3b1
eps8	sos-1
eps8	sos1
eps8–abi1	sos-1
eps8–abi1	sos-1dh−
eps8–abi1–sos-1	abi1–sos-1 complex
eps8–abi1–sos-1	p85
eps8–e3b1	eps8
eps8–e3b1	sos-1
er	cadmium
er	erα
er	estrogen receptor modulators
er	estrogens
er	foxm1
er	grip1 coactivator lxxll
er	histone
er	mapk
er	p53
er	tam-bound
er-α	brca1
er-α	estrogen receptor-α
erbb receptors	neuregulin
erbb3 receptor	egfr
ercc1	ner
ere binding receptors	erβ [18]
erk	15d-pgj2
erk	areg
erk	as2o3
erk	bay43-9006
erk	bcr
erk	berberine
erk	cadmium
erk	cd2+
erk	cddp
erk	egfr
erk	endosulfan
erk	epo
erk	fak
erk	frnk
erk	how bcr
erk	lrp-1
erk	mek
erk	msk1
erk	nac
erk	pfoa
erk	pfpea
erk	resveratrol
erk	rhuepo
erk	shp-2
erk	upar
erk	xenoestrogens
erk 1	formoterol
erk-dependent	bcl-2 family
erk-map kinase	mir-21
erk-mapk	pfoa
erk/mapk	pd98059
erk1	cd
erk1	gcda
erk1	p53
erk1	pro-upa
erk1	s2 b
erk1/2	[ca2+]i
erk1/2	calycosin
erk1/2	cpx
erk1/2	cyclin d1
erk1/2	erα
erk1/2	fig. 4c) egf
erk1/2	gcda
erk1/2	losartan
erk1/2	mcl-1
erk1/2	mkk1
erk1/2	na,k-atpase
erk1/2	pcn
erk1/2	rapamycin
erk1/2	shp-2
erk1/2	vegfr-3
erk1/2	zinc
erk1/2 (fig. 1b)	zinc
erk1/2 molecules	mir-210
erk1/2, jnk	il-1β
erk1/2, p38 and jnk [39,40]	tnf-α
erk1/2-	mcl-1
erk1/2- and nf-κb-related	inos
erk2	gcda
erk2	myosin light chain
erks	coumesterol
erks	elk1
erks	shp-2
erks	tpa
erks	trans-resveratrol
erlotinib	egfr
erlotinib	perk
erlotinib	prela
erm	cd44 receptor
erm proteins	wasp
ers	bpa
ers	erα
erα	ara70
erα	brca1
erα	cadmium
erα	creb
erα	e2
erα	er
erα	erk1/2
erα	ers
erα	foxm1
erα	ici
erα	igf-ir
erα	igf-ir/mapkp44/42
erα	mapkp44
erα	mitogen-activated protein kinase (mapk)-dependent
erα	other dna-binding transcription factors, such as ap-1 (activator protein 1
erα	p53
erα	pcna
erα	pi3k
erα	shc proteins
erα target gene	ici
erα target gene	oh-tam
erα-coactivator (	brca1 knockdown increased erα-coactivator
erαser118	igf-i
erβ	creb
erβ	mitogen-activated protein kinase (mapk)-dependent
erβ [18]	ere binding receptors
esr1	estrogen
esr1	ici
esr1	oh-tam
estradiol	igf-ir
estradiol	mir-34b
estrogen	car3
estrogen	cyclin d1
estrogen	diarylheptanoids
estrogen	esr1
estrogen	gsk
estrogen	xenoestrogens
estrogen receptor	arsenic
estrogen receptor	bpa
estrogen receptor	elements
estrogen receptor	pr
estrogen receptor	src
estrogen receptor	steroid
estrogen receptor modulators	er
estrogen receptor-α	er-α
estrogen receptors	bpa
estrogen receptors	calycosin
estrogen receptors	o,p’-ddt
estrogen receptors alpha	beta-catenin
estrogens	er
et-1	cd38
et-1	nox1
et-743	pm00104
etoposide	caspase-8
etoposide	hoc313
etoposide	s4b
ets transcription factor binding site	mmp-1
extracellular signal-regulated kinase (phospho-erk1/2	mmp-1
extracellular signal-regulated kinase 1	bax
extracellular signal-regulated kinase 1	p53
ezrin	gelsolin
f-actin	e-cadherin
f-actin	ephrin-a2
f-actin	g-actin
f-actin	gtpases
f-actin	jasp
f-actin	limk
f-actin	limk1
f-actin	phalloidin
f-actin	srf
f-ea5	rho
fa-associated pak1	cdc42 will subsequently activate fa-associated pak1
factor viia–tissue factor	tissue factor
fadd	caspases
fadd	paclitaxel
fak	at1r
fak	erk
fak	fit
fak	frnk
fak	gefh1
fak	growth factor receptors
fak	integrin
fak	integrin β1 cytoplasmic domain
fak	jnk
fak	lck-shp2
fak	mek1
fak	mmp-9
fak	p130cas
fak	p190rhogef
fak	p21 rho–gtpase
fak	pdgf
fak	pi3k
fak	pr-1
fak	pyk2
fak	rac
fak	rho
fak	shp-2
fak	src
fak	src-homology (sh)3 domain
fak	v-src
fak ips	v-src
fak sirna	nf-kb
fak)	graf (gtpase regulator
fak-	matrix metalloproteinase
fak–src	p21 rho
fak−/− f-actin	pyk2
fas	fasl
fas	rac1
fas	theaflavins
fas receptor	fasl
fasl	cd40
fasl	cd40∶cd154
fasl	fas
fasl	fas receptor
fatty acid	adiponectin
fc fragment	rhoa
fcγriib upon receptor	ship1
ferroportin	hepcidin
fgf receptor	n-cadherin
fgfr1	fgfr1 shrna #1
fgfr1	hgf
fgfr1 shrna #1	fgfr1
fhc	adiponectin
fibrinogen	src
fibrinogen	syk
fibrinogen	αiibβ3
fibronectin	integrin
fibronectin	integrin α5β1
fibronectin	matrix
fidarestat	il-13
fig. 1 d)	p85–abi1
fig. 2 c)	rho (
fig. 2 e	rac1
fig. 2)	igg
fig. 4c) egf	erk1/2
fig. 6 f)	wave2
figure 5b)	siah-1
fit	fak
fit	p130cas
fkbp12	mtor
fkhr	resveratrol
fkhrl1	cyclin d1
fkhrl1	p27
fkhrl1	resveratrol
fkhrl1	trail
flag- tagged	ape1
flag–cofilin	limk
flag–cofilin	rockδ3
flc	adiponectin
flll32	cyclin d1
flll32	ifn-γ
flll32	il 2-induced
flll32	il 2-induced pstat5
flll32	jak2 kinase
flll32	pstat5
flll32	stat3
flutamide	psa
fmlp	akt
fmlp	gfp-grp1ph
fn	mapk
fn	matrix
fn	mef
fn	pak1
fn	raf
fn	s218
fn	smα actin
fn (	myod
fn-associated	rhoa-gtp
fn-associated rhoa	p190rhogef
fn-stimulated	rhoa-gtp
fn-stimulated	v-src
fn-stimulated p190rhogap	v-src
fn3 domains	myosin (titin
focal adhesion kinase (fak)	copper
formoterol	erk 1
forskolin	aromatase promoter
fos	bpa
fos	hpte
foxm1	cyclin d1
foxm1	er
foxm1	erα
foxm1	igg control antibodies
foxm1	mouse
foxm1	oht
foxm1	pparα
foxm1	region
foxm1	regions
foxm1	topo-2α
foxo	pi3k/akt
foxo proteins	resveratrol
foxo transcription factor	resveratrol
foxo transcription factors	akt and erk
foxo transcription factors	resveratrol
foxo transcription factors [10]	egcg
foxo transcription factors [10]	resveratrol
foxo transcription factors [10]	sulforaphane
foxo1	catalase
foxo1	promoter
foxo1	resveratrol
foxo1-ca	catalase
foxo3a	aspc-1
foxo3a	bim
foxo3a-tm	aspc-1
frg	nef-3
frg	pp2
frg	tyrosine
frnk	erk
frnk	fak
fructose	khk isoforms
fructose	khk-a
fructose	khk-c
fsh	fshr
fshr	fsh
fshr	h-pgds-produced
full-length	rac1
fura-5f	cadmium
fyn	mehg
fyn	pp1
fyn	src family members
fyn kinase	c-cbl
fyn kinase	pkc-η
fyn kinase	prk2
fyn/src kinases	catenin
fyve domains	px domains
g protein-coupled receptor	gpr30
g protein-coupled receptor (	bpa
g proteins	asbestos
g-actin	f-actin
g1-s gene	lsf
gab1	c-met
gab1	c-met receptor
gab1	c-met receptor tyrosine kinase
gab1	crkl
gab1	egf
gab1	egfr
gab1	grb2
gab1	igf
gab1	insulin receptors
gab1	mapk
gab1	p85
gab1	pdgf
gab1	ph domain
gab1	ph domain (δph)
gab1	pi(3)k
gab1	pi-3 kinase
gab1	ras/mapk
gab1	shp-2
gab1	shp2
gab1	shp2 following egf
gab1	tyrosine
gab1-c-met	grb2
gab1-crkl	c3g
gab1f446	p85
gab1f627	shp2
gab1y627f	shp-2
gab1–	shp-2
gab2	c-met
gab2	p97
galectin-3-binding protein (lgals3bp) –	beta-galactoside
gamma interferon	gtpbb1
gapdh	hts
gastric peroxidase	indomethacin
gata factor	region
gata-4	hamp promoter
gcda	2
gcda	erk1
gcda	erk1/2
gcda	erk2
gcda	mcl-1
gcda-activated	mcl-1
gcda-activated erk1/2	mcl-1
gclm	6-hitc
gclm	gsh
gcs	epha receptors
gdf15	hamp
gdf15	hepcidin
gdp	arf6
gdp	gst-rac1
gdp	kalirin5
gef	microtubules
gef	p190rhogef
gef	rac1
gef ect2	rhoa
gefh1	fak
gefitinib	egfr
gefitinib	egfr/v738inskipvai
gefs	cooh
gelsolin	actin
gelsolin	ezrin
gelsolin	pi3-kinase
gelsolin [16]	pi3-kinase
gelsolin antibody	tat/fl-gsn gelsolin
gelsolin domain 2	actin
gelsolin domain 2	actin (g-actin)
gfp	p62dokδph-gfp
gfp	pp2
gfp-grp1ph	fmlp
gfp-pdk1	rfp-pkb
gfp-pkcθ	plcz
gga3	arf
gh3	cadmium
gjic	benzoylperoxide
gjic	dicumylperoxide
globulin	immunoglobulins
glu	caspase 3
glu	nmdar
glu	scn2.2
glu-	pld2 ph domain
glucocorticoid receptor	corticosteroids
glucocorticoid receptor (nr3c1)	sgk1
glucocorticoid receptor recruits a brg1-containing complex	baf250
glucose	adiponectin
glucose	ppar
glut1	amp
glut1	atp
glut1	c-ab
glut1	igg
glut1	mct1
glut1	terminus
glut1 c terminus	c-ab
glut2	mct1
glut4	resveratrol
glutamate	12-lipoxygenase
glutamate	pdgf-bb
glycogen synthase kinase (gsk)-3β	axin
glycogen synthase kinase 3 67	nf-at
glycogen synthase kinase-3β	lithium
gna12	bpa
gna12	hpte
gnl2	nucleotide
gnl3	nucleotide
gpr30	bpa
gpr30	g protein-coupled receptor
gr	tf klf9
graf (gtpase regulator	fak)
grasp	arno family members
grb2	c-met
grb2	domain
grb2	e3b1
grb2	egf receptor
grb2	gab1
grb2	gab1-c-met
grb2	grb2/sos
grb2	igf-ir
grb2	l524p
grb2	l524p mutation (δgrb2)
grb2	lat
grb2	mapk
grb2	p66shc
grb2	p66shcy3a
grb2	proline
grb2	region
grb2	sh2 domain
grb2	shc
grb2	shc, and sos
grb2	sos-1
grb2	sos1
grb2 (fig. 2 b)	sos1
grb2/sos	grb2
grip1	ncoa2
grip1 coactivator lxxll	er
growth factor receptors	fak
grp-78	thapsigargin
gsh	gclm
gsk	estrogen
gsk	licl
gsk-3β	microcystin-lr
gsk-3β-mediated	mcl-1
gsk3	dhfr
gsk3	pka
gsk3β	akt
gst-kalsr4-7	arf6
gst-rac	sos-1
gst-rac1	gdp
gst-rac1	gst-rac1δc
gst-rac1	gst-racδc
gst-rac1δc	gst-rac1
gst-rac1δc	paxillin
gst-racδc	gst-rac1
gst-tcf4	β-catenin
gsts, and mrps	nrf2
gtp	akt
gtp	cdc42
gtp	gtpase-activating proteins (gaps)
gtp	jnk
gtp	rac
gtp	rap
gtp	rho
gtp	rho proteins
gtp	tnk2
gtp-ras	b-raf kinase
gtp-rhoa	rockii
gtpase	cadherin
gtpase	gtpase activating proteins (gaps)
gtpase activating proteins (gaps)	gtpase
gtpase-activating proteins (gaps)	gtp
gtpases	actin
gtpases	f-actin
gtpases	pak1
gtpases	srf
gtpbb1	gamma interferon
gtpγs-rhoa	rockii
guanine nucleotide	alpha 12)
gw5074	raf-1
gw8510	cdk2
gw8510	ins2
gw8510	insulin
gw8510	p53
h-pgds-produced	fshr
h-r	cd40∶cd154 receptor-ligand
h-r	hepatocyte
h1299	nicotine
h17β-hsd12	e2 [19]
h2a.x	resveratrol
h2afx	mir-24-2
h2ax	mir-24-2
h2o2	1,2-nq–
h2o2	catalase
h2o2	ccl2
h2o2	egr-1
h2o2	il-8
h3	baf subunits
h3	epoxides
h3	histone
h3	msk1
h3 histone	promoters
h3k14ac	baf complex
h4	epoxides
h4	region
h4 peptides	baf complex
h460	cr(vi)
h460	resveratrol
ha	ha synthase
ha	nlrp3 inflammasome
ha synthase	ha
hamp	gdf15
hamp	k7174
hamp promoter	gata-4
hao1	oxygen
hcas	l1-rtp
hdac1	p53
hdac1	tsa
hdac1[11]	hr
hdl	cholesterol
hdl)	cholesterol
hdl)	nps
hdl)	triglycerides
heat shock protein 27	mapks
hecth9	myc–max complexes
heme	dioxin
heme oxygenase 1 (ho-1	crocidolite asbestos
heme oxygenase-1 (hmox1	heme oxygenase-1 (hmox1; supplementary table 2
heme oxygenase-1 (hmox1; supplementary table 2	heme oxygenase-1 (hmox1
hemoglobin	tnt
hepa1c1c7	2,3,7,8-tetrachlorodibenzo-p-dioxin
heparin binding-egf	egfr ligand
hepatocyte	h-r
hepcidin	ferroportin
hepcidin	gdf15
hepcidin	k7174
hepg2	5-fu
hepg2	ato
hepg2	hgcl2
hepg2	zebularine
her-2	androgens
her-2/neu	ar
hes5	dll1
hes5	jag1
hgcl2	hepg2
hgf	fgfr1
hgf	met
hi	lithium
hif-1	arsenic
hif-1	p300
hif-1	promoter
hif-1	vegf
hif-1α	cocl2
hif-1α	copper
hif-1α protein	copper
hif-1α targets	nickel
histone	baf complex
histone	er
histone	h3
histone	set domain
histone h3k14ac	baf complex
histones	anti-histone antibodies
histones	brca1
hk-2	p21
hl60	dasatinib
hl60	pd98059
hmga2	let-7 family (family of mirnas
hmga2	let-7 mirnas
hmgb1	bcl-2
hmgb1	nac1 (fig. 6)
ho-1	1,2-nq–
hoc313	etoposide
homeo-domain	six1
homologue of	mapk
how bcr	erk
how bcr	jnk, and p38
hpte	cyr61
hpte	fos
hpte	gna12
hpte	nr4a1
hpte	sox8
hr	hdac1[11]
hr	p53
hre1	pr
hre1 [27]	pr
hrp	ccl2
hsf1	17-allylamino-17-demethoxygeldanamycin
hsf1	resveratrol
hsp27	p38 mapk
hsp27	sb202190
hsp70	hsp90
hsp90	17-aag
hsp90	egfr
hsp90	hsp70
hsp90	nci-h1781
hspc300	abi1
ht-29	cisplatin
htert promotor	myc/mad-1 transcription factor
hts	gapdh
huh-7	phip
human	epor
human	zinc
hur	apocynin
hur	ccl2 3'utr
hur	ccl2 transcript
husap	stx2
hydrogen peroxide	tnfrs10b
hydroxylamine	mao
hypoxia-inducible factor 1β (hif1β)	ahr interacts with hypoxia-inducible factor 1β
i-tac	cxcr3
i-tac	ifn-β
i-tac	ifns
i-tac	il-1
i-tac	ip-10
i-tac	ip-10/ humig receptor
i-tac mrna	ifn
i-tac mrna	ifn-γ
i-κb	curcumin
ibuprofen	indomethacin
icam-1	nf-κb transcription factor
icam-1	tnf-α
icam-i	tnf-α
ici	erα
ici	erα target gene
ici	esr1
ici-182,780	signal-regulated kinases 1/2 (erk 1
id1	arsenite
ifn	i-tac mrna
ifn-gamma	no
ifn-β	i-tac
ifn-γ	dex
ifn-γ	flll32
ifn-γ	i-tac mrna
ifns	i-tac
ifnγ	pb
ifnγ	spla2-iia
ig-like domains	cooh
ig-like domains	titin
igf	gab1
igf-1	akt sirna
igf-1	igf-1r
igf-1	p53
igf-1r	igf-1
igf-1r	p53
igf-1r	resveratrol
igf-1r	sp1
igf-i	e2
igf-i	e2/erα
igf-i	erαser118
igf-ir	e2
igf-ir	e2/erα
igf-ir	erα
igf-ir	estradiol
igf-ir	grb2
igf-ir/mapkp44/42	erα
igf-irβ	siigf-ir
igg	atp
igg	fig. 2)
igg	glut1
igg	region
igg	terminus
igg control antibodies	foxm1
igm	bcr
ikb kinase complex)	nemo
ikk	rassf1a
ikk complex	rassf2
ikk/nfκb	cox-2
ikkα	a20-rip
ikkα	berbamine
ikkβ peptide inhibitor (aa t735-e745	nemo
ikkβ-km	cox-2
il 2-induced	flll32
il 2-induced pstat5	flll32
il-1	acetylcholinesterase
il-1	i-tac
il-1	il-6
il-1	inos
il-1	macrophage colony stimulating factor (mcsf
il-10	dex
il-13	ar
il-13	fidarestat
il-13	spdef
il-13	stat (signal transducer and activator of transcription) -6
il-1α	dex
il-1β	cyclooxygenase
il-1β	dex
il-1β	endothelin-1
il-1β	erk1/2, jnk
il-1β	nf-κb
il-1β	piroxicam
il-1β	resveratrol
il-1β	tnf-α
il-1β	tnfα
il-4	il-4rα chain
il-4	irs-2
il-4	stat (signal transducer and activator of transcription) -6
il-4	stat-6
il-4rα chain	il-4
il-6	curcumin
il-6	cxl1 (chemokine ligand 1
il-6	dna methyltransferase 1
il-6	epinephrine
il-6	il-1
il-6	il-6r
il-6	piroxicam
il-6	sgp130
il-6	sirt1
il-6	stat3
il-6	tnf-α
il-6r	il-6
il-8	h2o2
il13ra2	tnf
il1b	cyclooxygenase
il24	tnf
il8	tnf
il8	vanadium
imatinib	bcr/abl
immunoglobulins	globulin
imr32	sb202190
indomethacin	cyclin d1
indomethacin	gastric peroxidase
indomethacin	ibuprofen
inos	aciculatin
inos	atl
inos	erk1/2- and nf-κb-related
inos	il-1
inos	ly333531
inos	pkcβ2
inos	resveratrol
inositol 1,4,5 trisphosphate	phospholipase c (plc)γ
ins2	ccng1
ins2	cdkn1a
ins2	gw8510
ins2	p53
insulin	brd7389
insulin	gw8510
insulin	irs-1
insulin	p53
insulin	ppt
insulin receptor	bpa
insulin receptors	gab1
insulin receptors	ngf
insulin-like growth factor (igf) and integrin-linked kinase	integrin-linked kinase (ilk)
integrin	ecm proteins
integrin	fak
integrin	fibronectin
integrin	matrix
integrin	miz1
integrin	pai-1
integrin	pi3-kinase
integrin	rac
integrin	shp-2
integrin	shp2
integrin	upar
integrin	upar-mediated cell binding to vn independently of integrin
integrin	upar–integrin
integrin engage	rac
integrin heterodimers	upar
integrin α5β1	fibronectin
integrin αiibβ3	src
integrin β1 cytoplasmic domain	fak
integrin-linked kinase (ilk)	insulin-like growth factor (igf) and integrin-linked kinase
integrin-mediated	rho
interleukin-6	cxl1 (chemokine ligand 1
intersectin 2	cdc42
intersectin 2	wasp
intersectin 2 sh3c and sh3e domains	wasp
ip-10	cxcr3
ip-10	i-tac
ip-10	ip-10/ humig receptor
ip-10	ip-10/humig receptor
ip-10/ humig receptor	i-tac
ip-10/ humig receptor	ip-10
ip-10/humig receptor	ip-10
iqgap1	b-raf
iqgap1	c-src
iqgap1	iqgap1 sirna
iqgap1	sh2 domain
iqgap1	vegfr-2
iqgap1 sirna	iqgap1
ir	ampk
ir)-induced akt	resveratrol
ir)-induced ampk	resveratrol
irs-1	insulin
irs-1	p70s6k
irs-1	phospho-i4r
irs-2	il-4
irsp53	actin
irsp53	ca mutants
irsp53	rac
irsp53	rac-dependent
irsp53	wave2
irsp53	wave2 complex
isothiocyanates	nrf2
iκb	resveratrol
iκb kinase α	iκbα
iκb-α	curcumin
iκb-α	nf-κb
iκbα	berbamine
iκbα	iκb kinase α
jag1	hes5
jag1	notch1
jag1	sp600125
jak-stat	cd40
jak-stat3	egfr
jak2 kinase	flll32
jak2-stat3	resveratrol
jasp	f-actin
jasplakinolide	actin
jasplakinolide	srf
jnk	[ca2+]i
jnk	aciculatin
jnk	ato
jnk	bim
jnk	bps
jnk	cas δsh3
jnk	cr(vi)
jnk	dusp1
jnk	fak
jnk	gtp
jnk	jun kinase
jnk	mkk4
jnk	p38
jnk	rac1
jnk	resveratrol
jnk	rhoa
jnk, and p38	bcr
jnk, and p38	how bcr
jnk1	nf-κb
jnk1	tak1
jnk1/2	mkk4
jsi-124	stat1
jun kinase	jnk
junb	mir-155
jund	mir-155
juxtamembrane	epha receptors
juxtamembrane	ephb2 receptors
juxtamembrane	p120
juxtamembrane	rasgap (
juxtamembrane	δ-catenin/nprap
k-ras	arsenite
k-ras	mcl-1
k562	resveratrol
k7174	hamp
k7174	hepcidin
kalirin	arf6
kalirin	arf6-gdp
kalirin	efa6
kalirin	rac
kalirin	rho family gefs
kalirin5	arf6
kalirin5	arf6-gdp
kalirin5	gdp
kalirin5	rac1
kalirin5	rac1 (fig. 4)
keap1	akr1c1
keap1	anti-keap1
keap1	anti-nrf2
keap1	cpdt
keap1	cul3
keap1	nrf1
keap1	nrf2
keap1	nrf2-are
keap1	rbx1
kelch-like ech-associated protein 1	nrf2
kelch-like ech-associated protein 1 (keap1	nrf2
khk isoforms	fructose
khk isoforms	khk-a
khk-a	amp-pnp
khk-a	fructose
khk-a	khk isoforms
khk-a	residues
khk-c	amp-pnp
khk-c	fructose
kif3b	arhgef10
kinase	p190rhogef
kinesin-like motor protein kif3b	arhgef10
kip1	cdc34
kip1	e2
kras	cam
kras	cooh
kras	let-7 family (family of mirnas
kras	membrane
kras	mir-126
kras	rap1a
kras	tumour-suppressor let-7 family
l1-rtp	hcas
l1-rtp	meiqx
l1-rtp	phip
l524p	grb2
l524p mutation (δgrb2)	grb2
l858r	tyrosine
large catalytic subunit	death receptor
large family of phosphatases	mapks
lat	grb2
lat mutant	plcγ1
lats	2
lats	rassf1a
lck	cd28
lck-shp2	cytoskeleton
lck-shp2	fak
lec tube	cpx
lectin	mbl2
lef-1	ea
lef-1	β-catenin
leptin mrna	bpa
let-7 family (family of mirnas	hmga2
let-7 family (family of mirnas	kras
let-7 mirnas	hmga2
let-7 mirnas	myc
licl	beta-catenin
licl	dexamethasone
licl	gsk
licl	β-catenin
lif	sgp130
lim kinase	serum response factor and actin dynamics
limk	f-actin
limk	flag–cofilin
limk	srf
limk t508v	srf
limk1	cofilin
limk1	f-actin
limk1	srf
lipid kinase	pkc
lithium	glycogen synthase kinase-3β
lithium	hi
ll-37	lps binding protein
losartan	cu
losartan	erk1/2
losartan	p38
lps	mapk
lps	mapks
lps	stx2
lps	tlr-4
lps binding protein	ll-37
lps-induced	promoter
lps-induced	sgp130
lps-induced	sulfasalazine
lps-induced cytokine mrna	resveratrol
lps-stimulated	17-bmp
lrp-1	cjun nh2-terminal kinase
lrp-1	erk
lrp-1	rac1
lrp-1	upar
lrp-1 antisense rna	upar
lrp-1 with receptor-associated protein	rac1
lsf	g1-s gene
luciferase	mir-34b
ly294002	bim
ly333531	inos
ly333531	pkcβ2
m344	brca1
macrophage colony stimulating factor (mcsf	il-1
mad2l1	cyclin b-ubiquitin ligase
madin	arno
maf	nrf2
mangiferin	pb(ii)
mannitol	p65 subunit
mao	hydroxylamine
mao	semicarbazide
map kinase	map2ks
map kinase	mkp1
map kinase kinase	p38 mapk
map kinases	mmp-1
map kinases	nrf2
map kinases	tnf-α
map2k4	p38
map2ks	map kinase
mapk	akt
mapk	atr
mapk	drosophila
mapk	e2
mapk	er
mapk	fn
mapk	gab1
mapk	grb2
mapk	homologue of
